"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","2016","2017","2018","2019"
"NEK7 is an essential mediator of NLRP3 activation downstream of potassium efflux","He, Yuan; Zeng, Melody Y.; Yang, Dahai; Metro, Benny; Nunez, Gabriel",NA,NA,NA,"NATURE","FEB 18 2016","2016","530","7590",NA,NA,NA,"354","+",NA,"10.1038/nature16959",NA,NA,"168","42",16,53,71,28
"Reversible methylation of m(6)A(m) in the 5 ' cap controls mRNA stability","Mauer, Jan; Luo, Xiaobing; Blanjoie, Alexandre; Jiao, Xinfu; Grozhik, Anya V.; Patil, Deepak P.; Linder, Bastian; Pickering, Brian F.; Vasseur, Jean-Jacques; Chen, Qiuying; Gross, Steven S.; Elemento, Olivier; Debart, Francoise; Kiledjian, Megerditch; Jaffrey, Samie R.",NA,NA,NA,"NATURE","JAN 19 2017","2017","541","7637",NA,NA,NA,"371","+",NA,"10.1038/nature21022",NA,NA,"167","55.670000000000002",0,48,72,47
"Quantifying global soil carbon losses in response to warming","Crowther, T. W.; Todd-Brown, K. E. O.; Rowe, C. W.; Wieder, W. R.; Carey, J. C.; Machmuller, M. B.; Snoek, B. L.; Fang, S.; Zhou, G.; Allison, S. D.; Blair, J. M.; Bridgham, S. D.; Burton, A. J.; Carrillo, Y.; Reich, P. B.; Clark, J. S.; Classen, A. T.; Dijkstra, F. A.; Elberling, B.; Emmett, B. A.; Estiarte, M.; Frey, S. D.; Guo, J.; Harte, J.; Jiang, L.; Johnson, B. R.; Kroel-Dulay, G.; Larsen, K. S.; Laudon, H.; Lavallee, J. M.; Luo, Y.; Lupascu, M.; Ma, L. N.; Marhan, S.; Michelsen, A.; Mohan, J.; Niu, S.; Pendall, E.; Penuelas, J.; Pfeifer-Meister, L.; Poll, C.; Reinsch, S.; Reynolds, L. L.; Schmidt, I. K.; Sistla, S.; Sokol, N. W.; Templer, P. H.; Treseder, K. K.; Welker, J. M.; Bradford, M. A.",NA,NA,NA,"NATURE","DEC 1 2016","2016","540","7631",NA,NA,NA,"104","+",NA,"10.1038/nature20150",NA,NA,"167","41.75",1,44,94,28
"Large optical nonlinearity of indium tin oxide in its epsilon-near-zero region","Alam, M. Zahirul; De Leon, Israel; Boyd, Robert W.",NA,NA,NA,"SCIENCE","MAY 13 2016","2016","352","6287",NA,NA,NA,"795","797",NA,"10.1126/science.aae0330",NA,NA,"167","41.75",16,59,72,20
"Parkinson-associated risk variant in distal enhancer of alpha-synuclein modulates target gene expression","Soldner, Frank; Stelzer, Yonatan; Shivalila, Chikdu S.; Abraham, Brian J.; Latourelle, Jeanne C.; Barrasa, M. Inmaculada; Goldmann, Johanna; Myers, Richard H.; Young, Richard A.; Jaenisch, Rudolf",NA,NA,NA,"NATURE","MAY 5 2016","2016","533","7601",NA,NA,NA,"95","+",NA,"10.1038/nature17939",NA,NA,"167","41.75",16,60,69,22
"Ion sieving in graphene oxide membranes via cationic control of interlayer spacing","Chen, Liang; Shi, Guosheng; Shen, Jie; Peng, Bingquan; Zhang, Bowu; Wang, Yuzhu; Bian, Fenggang; Wang, Jiajun; Li, Deyuan; Qian, Zhe; Xu, Gang; Liu, Gongping; Zeng, Jianrong; Zhang, Lijuan; Yang, Yizhou; Zhou, Guoquan; Wu, Minghong; Jin, Wanqin; Li, Jingye; Fang, Haiping",NA,NA,NA,"NATURE","OCT 19 2017","2017","550","7676",NA,NA,NA,"415","418",NA,"10.1038/nature24044",NA,NA,"166","55.329999999999998",0,1,100,65
"Zika virus protection by a single low-dose nucleoside-modified mRNA vaccination","Pardi, Norbert; Hogan, Michael J.; Pelc, Rebecca S.; Muramatsu, Hiromi; Andersen, Hanne; DeMaso, Christina R.; Dowd, Kimberly A.; Sutherland, Laura L.; Scearce, Richard M.; Parks, Robert; Wagner, Wendeline; Granados, Alex; Greenhouse, Jack; Walker, Michelle; Willis, Elinor; Yu, Jae-Sung; McGee, Charles E.; Sempowski, Gregory D.; Mui, Barbara L.; Tam, Ying K.; Huang, Yan-Jang; Vanlandingham, Dana; Holmes, Veronica M.; Balachandran, Harikrishnan; Sahu, Sujata; Lifton, Michelle; Higgs, Stephen; Hensley, Scott E.; Madden, Thomas D.; Hope, Michael J.; Kariko, Katalin; Santra, Sampa; Graham, Barney S.; Lewis, Mark G.; Pierson, Theodore C.; Haynes, Barton F.; Weissman, Drew",NA,NA,NA,"NATURE","MAR 9 2017","2017","543","7644",NA,NA,NA,"248","+",NA,"10.1038/nature21428",NA,NA,"166","55.329999999999998",0,55,90,21
"Asgard archaea illuminate the origin of eukaryotic cellular complexity","Zaremba-Niedzwiedzka, Katarzyna; Caceres, Eva F.; Saw, Jimmy H.; Backstrom, Disa; Juzokaite, Lina; Vancaester, Emmelien; Seitz, Kiley W.; Anantharaman, Karthik; Starnawski, Piotr; Kjeldsen, Kasper U.; Stott, Matthew B.; Nunoura, Takuro; Banfield, Jillian F.; Schramm, Andreas; Baker, Brett J.; Spang, Anja; Ettema, Thijs J. G.",NA,NA,NA,"NATURE","JAN 19 2017","2017","541","7637",NA,NA,NA,"353","+",NA,"10.1038/nature21031",NA,NA,"166","55.329999999999998",0,47,89,30
"PI3K gamma is a molecular switch that controls immune suppression","Kaneda, Megan M.; Messer, Karen S.; Ralainirina, Natacha; Li, Hongying; Leem, Christopher J.; Gorjestani, Sara; Woo, Gyunghwi; Nguyen, Abraham V.; Figueiredo, Camila C.; Foubert, Philippe; Schmid, Michael C.; Pink, Melissa; Winkler, David G.; Rausch, Matthew; Palombella, Vito J.; Kutok, Jeffery; McGovern, Karen; Frazer, Kelly A.; Wu, Xuefeng; Karin, Michael; Sasik, Roman; Cohen, Ezra E. W.; Varner, Judith A.",NA,NA,NA,"NATURE","NOV 17 2016","2016","539","7629",NA,NA,NA,"437","442",NA,"10.1038/nature19834",NA,NA,"166","41.5",0,55,80,31
"Specification of tissue-resident macrophages during organogenesis","Mass, Elvira; Ballesteros, Ivan; Farlik, Matthias; Halbritter, Florian; Guenther, Patrick; Crozet, Lucile; Jacome-Galarza, Christian E.; Haendler, Kristian; Klughammer, Johanna; Kobayashi, Yasuhiro; Gomez-Perdiguero, Elisa; Schultze, Joachim L.; Beyer, Marc; Bock, Christoph; Geissmann, Frederic",NA,NA,NA,"SCIENCE","SEP 9 2016","2016","353","6304",NA,NA,NA,NA,NA,"aaf4238","10.1126/science.aaf4238",NA,NA,"165","41.25",4,53,83,25
"An organic-inorganic perovskite ferroelectric with large piezoelectric response (vol 357, pg 306, 2017)","You, Yu-Meng; Liao, Wei-Qiang; Zhao, Dewei; Ye, Heng-Yun; Zhang, Yi; Zhou, Qionghua; Niu, Xianghong; Wang, Jinlan; Li, Peng-Fei; Fu, Da-Wei; Wang, Zheming; Gao, Song; Yang, Kunlun; Liu, Jun-Ming; Li, Jiangyu; Yan, Yanfa; Xiong, Ren-Gen",NA,NA,NA,"SCIENCE","JUL 21 2017","2017","357","6348",NA,NA,NA,"306","309",NA,"10.1126/science.aai8535",NA,NA,"164","54.670000000000002",0,10,99,55
"Rb1 and Trp53 cooperate to suppress prostate cancer lineage plasticity, metastasis, and antiandrogen resistance","Ku, Sheng Yu; Rosario, Spencer; Wang, Yanqing; Mu, Ping; Seshadri, Mukund; Goodrich, Zachary W.; Goodrich, Maxwell M.; Labbe, David P.; Gomez, Eduardo Cortes; Wang, Jianmin; Long, Henry W.; Xu, Bo; Brown, Myles; Loda, Massimo; Sawyers, Charles L.; Ellis, Leigh; Goodrich, David W.",NA,NA,NA,"SCIENCE","JAN 6 2017","2017","355","6320",NA,NA,NA,"78","83",NA,"10.1126/science.aah4199",NA,NA,"164","54.670000000000002",0,35,90,39
"A direct localization of a fast radio burst and its host","Chatterjee, S.; Law, C. J. .; Wharton, R. S.; Burke-Spolaor, S.; Hessels, J. W. T.; Bower, G. C.; Cordes, J. M.; Tendulkar, S. P.; Bassa, C. G.; Demorest, P.; Butler, B. J.; Seymour, A.; Scholz, P.; Abruzzo, M. W.; Bogdanov, S.; Kaspi, V. M.; Keimpema, A.; Lazio, T. J. . W.; Marcote, B.; McLaughlin, M. A.; Paragi, Z.; Ransom, S. M.; Rupen, M.; Spitler, L. G.; van Langevelde, H. J. .",NA,NA,NA,"NATURE","JAN 5 2017","2017","541","7635",NA,NA,NA,"58","+",NA,"10.1038/nature20797",NA,NA,"164","54.670000000000002",0,61,71,32
"Catalytic alkylation of remote C-H bonds enabled by proton-coupled electron transfer","Choi, Gilbert J.; Zhu, Qilei; Miller, David C.; Gu, Carol J.; Knowles, Robert R.",NA,NA,NA,"NATURE","NOV 10 2016","2016","539","7628",NA,NA,NA,"268","271",NA,"10.1038/nature19811",NA,NA,"164","41",0,47,86,31
"Targeting metastasis-initiating cells through the fatty acid receptor CD36","Pascual, Gloria; Avgustinova, Alexandra; Mejetta, Stefania; Martin, Merce; Castellanos, Andres; Stephan-Otto Attolini, Camille; Berenguer, Antoni; Prats, Neus; Toll, Agusti; Antonio Hueto, Juan; Bescos, Coro; Di Croce, Luciano; Aznar Benitah, Salvador",NA,NA,NA,"NATURE","JAN 5 2017","2017","541","7635",NA,NA,NA,"41","+",NA,"10.1038/nature20791",NA,NA,"163","54.329999999999998",0,47,83,33
"Rapid development of a DNA vaccine for Zika virus","Dowd, Kimberly A.; Ko, Sung-Youl; Morabito, Kaitlyn M.; Yang, Eun Sung; Pelc, Rebecca S.; DeMaso, Christina R.; Castilho, Leda R.; Abbink, Peter; Boyd, Michael; Nityanandam, Ramya; Gordon, David N.; Gallagher, John Robert; Chen, Xuejun; Todd, John-Paul; Tsybovsky, Yaroslav; Harris, Audray; Huang, Yan-Jang S.; Higgs, Stephen; Vanlandingham, Dana L.; Andersen, Hanne; Lewis, Mark G.; De La Barrera, Rafael; Eckels, Kenneth H.; Jarman, Richard G.; Nason, Martha C.; Barouch, Dan H.; Roederer, Mario; Kong, Wing-Pui; Mascola, John R.; Pierson, Theodore C.; Graham, Barney S.",NA,NA,NA,"SCIENCE","OCT 14 2016","2016","354","6309",NA,NA,NA,"237","240",NA,"10.1126/science.aai9137",NA,NA,"163","40.75",2,68,85,8
"Cobalt carbide nanoprisms for direct production of lower olefins from syngas","Zhong, Liangshu; Yu, Fei; An, Yunlei; Zhao, Yonghui; Sun, Yuhan; Li, Zhengjia; Lin, Tiejun; Lin, Yanjun; Qi, Xingzhen; Dai, Yuanyuan; Gu, Lin; Hu, Jinsong; Jin, Shifeng; Shen, Qun; Wang, Hui",NA,NA,NA,"NATURE","OCT 6 2016","2016","538","7623",NA,NA,NA,"84","+",NA,"10.1038/nature19786",NA,NA,"163","40.75",4,56,77,26
"Hobit and Blimp1 instruct a universal transcriptional program of tissue residency in lymphocytes","Mackay, Laura K.; Minnich, Martina; Kragten, Natasja A. M.; Liao, Yang; Nota, Benjamin; Seillet, Cyril; Zaid, Ali; Man, Kevin; Preston, Simon; Freestone, David; Braun, Asolina; Wynne-Jones, Erica; Behr, Felix M.; Stark, Regina; Pellicci, Daniel G.; Godfrey, Dale I.; Belz, Gabrielle T.; Pellegrini, Marc; Gebhardt, Thomas; Busslinger, Meinrad; Shi, Wei; Carbone, Francis R.; van Lier, Rene A. W.; Kallies, Axel; van Gisbergen, Klaas P. J. M.",NA,NA,NA,"SCIENCE","APR 22 2016","2016","352","6284",NA,NA,NA,"459","463",NA,"10.1126/science.aad2035",NA,NA,"163","40.75",13,48,76,26
"Observation of the Dirac fluid and the breakdown of the Wiedemann-Franz law in graphene","Crossno, Jesse; Shi, Jing K.; Wang, Ke; Liu, Xiaomeng; Harzheim, Achim; Lucas, Andrew; Sachdev, Subir; Kim, Philip; Taniguchi, Takashi; Watanabe, Kenji; Ohki, Thomas A.; Fong, Kin Chung",NA,NA,NA,"SCIENCE","MAR 4 2016","2016","351","6277",NA,NA,NA,"1058","1061",NA,"10.1126/science.aad0343",NA,NA,"163","40.75",21,51,62,29
"Allowable CO2 emissions based on regional and impact-related climate targets","Seneviratne, Sonia I.; Donat, Markus G.; Pitman, Andy J.; Knutti, Reto; Wilby, Robert L.",NA,NA,NA,"NATURE","JAN 28 2016","2016","529","7587",NA,NA,NA,"477","483",NA,"10.1038/nature16542",NA,NA,"163","40.75",22,50,75,16
"Highly elastic binders integrating polyrotaxanes for silicon microparticle anodes in lithium ion batteries","Choi, Sunghun; Kwon, Tae-Woo; Coskun, Ali; Choi, Jang Wook",NA,NA,NA,"SCIENCE","JUL 21 2017","2017","357","6348",NA,NA,NA,"279","283",NA,"10.1126/science.aal4373",NA,NA,"162","54",0,10,91,61
"Amplified stimulated emission in upconversion nanoparticles for super-resolution nanoscopy","Liu, Yujia; Lu, Yiqing; Yang, Xusan; Zheng, Xianlin; Wen, Shihui; Wang, Fan; Vidal, Xavier; Zhao, Jiangbo; Liu, Deming; Zhou, Zhiguang; Ma, Chenshuo; Zhou, Jiajia; Piper, James A.; Xi, Peng; Jin, Dayong",NA,NA,NA,"NATURE","MAR 9 2017","2017","543","7644",NA,NA,NA,"229","+",NA,"10.1038/nature21366",NA,NA,"162","54",0,28,91,43
"Synthetic nacre by predesigned matrix-directed mineralization","Mao, Li-Bo; Gao, Huai-Ling; Yao, Hong-Bin; Liu, Lei; Colfen, Helmut; Liu, Gang; Chen, Si-Ming; Li, Shi-Kuo; Yan, You-Xian; Liu, Yang-Yi; Yu, Shu-Hong",NA,NA,NA,"SCIENCE","OCT 7 2016","2016","354","6308",NA,NA,"SI","107","110",NA,"10.1126/science.aaf8991",NA,NA,"162","40.5",5,54,75,28
"Transfer of mitochondria from astrocytes to neurons after stroke","Hayakawa, Kazuhide; Esposito, Elga; Wang, Xiaohua; Terasaki, Yasukazu; Liu, Yi; Xing, Changhong; Ji, Xunming; Lo, Eng H.",NA,NA,NA,"NATURE","JUL 28 2016","2016","535","7613",NA,NA,NA,"551","+",NA,"10.1038/nature18928",NA,NA,"162","40.5",8,51,72,31
"The Asian monsoon over the past 640,000 years and ice age terminations","Cheng, Hai; Edwards, R. Lawrence; Sinha, Ashish; Spotl, Christoph; Yi, Liang; Chen, Shitao; Kelly, Megan; Kathayat, Gayatri; Wang, Xianfeng; Li, Xianglei; Kong, Xinggong; Wang, Yongjin; Ning, Youfeng; Zhang, Haiwei",NA,NA,NA,"NATURE","JUN 30 2016","2016","534","7609",NA,NA,NA,"640","+",NA,"10.1038/nature18591",NA,NA,"162","40.5",6,41,86,29
"Correlated insulator behaviour at half-filling in magic-angle graphene superlattices","Cao, Yuan; Fatemi, Valla; Demir, Ahmet; Fang, Shiang; Tomarken, Spencer L.; Luo, Jason Y.; Sanchez-Yamagishi, Javier D.; Watanabe, Kenji; Taniguchi, Takashi; Kaxiras, Efthimios; Ashoori, Ray C.; Jarillo-Herrero, Pablo",NA,NA,NA,"NATURE","APR 5 2018","2018","556","7699",NA,NA,NA,"80","+",NA,"10.1038/nature26154",NA,NA,"161","80.5",0,0,93,68
"Emergence of hierarchical structural complexities in nanoparticles and their assembly","Zeng, Chenjie; Chen, Yuxiang; Kirschbaum, Kristin; Lambright, Kelly J.; Jin, Rongchao",NA,NA,NA,"SCIENCE","DEC 23 2016","2016","354","6319",NA,NA,NA,"1580","1584",NA,"10.1126/science.aak9750",NA,NA,"161","40.25",0,44,90,27
"Genomic insights into the origin of farming in the ancient Near East","Lazaridis, Iosif; Nadel, Dani; Rollefson, Gary; Merrett, Deborah C.; Rohland, Nadin; Mallick, Swapan; Fernandes, Daniel; Novak, Mario; Gamarra, Beatriz; Sirak, Kendra; Connell, Sarah; Stewardson, Kristin; Harney, Eadaoin; Fu, Qiaomei; Gonzalez-Fortes, Gloria; Jones, Eppie R.; Roodenberg, Songul Alpaslan; Lengyel, Gyorgy; Bocquentin, Fanny; Gasparian, Boris; Monge, Janet M.; Gregg, Michael; Eshed, Vered; Mizrahi, Ahuva-Sivan; Meiklejohn, Christopher; Gerritsen, Fokke; Bejenaru, Luminita; Blueher, Matthias; Campbell, Archie; Cavalleri, Gianpiero; Comas, David; Froguel, Philippe; Gilbert, Edmund; Kerr, Shona M.; Kovacs, Peter; Krause, Johannes; McGettigan, Darren; Merrigan, Michael; Merriwether, D. Andrew; O'Reilly, Seamus; Richards, Martin B.; Semino, Ornella; Shamoon-Pour, Michel; Stefanescu, Gheorghe; Stumvoll, Michael; Toenjes, Anke; Torroni, Antonio; Wilson, James F.; Yengo, Loic; Hovhannisyan, Nelli A.; Patterson, Nick; Pinhasi, Ron; Reich, David",NA,NA,NA,"NATURE","AUG 25 2016","2016","536","7617",NA,NA,NA,"419","+",NA,"10.1038/nature19310",NA,NA,"161","40.25",3,63,71,24
"Ion-induced nucleation of pure biogenic particles","Kirkby, Jasper; Duplissy, Jonathan; Sengupta, Kamalika; Frege, Carla; Gordon, Hamish; Williamson, Christina; Heinritzi, Martin; Simon, Mario; Yan, Chao; Almeida, Joao; Troestl, Jasmin; Nieminen, Tuomo; Ortega, Ismael K.; Wagner, Robert; Adamov, Alexey; Amorim, Antonio; Bernhammer, Anne-Kathrin; Bianchi, Federico; Breitenlechner, Martin; Brilke, Sophia; Chen, Xuemeng; Craven, Jill; Dias, Antonio; Ehrhart, Sebastian; Flagan, Richard C.; Franchin, Alessandro; Fuchs, Claudia; Guida, Roberto; Hakala, Jani; Hoyle, Christopher R.; Jokinen, Tuija; Junninen, Heikki; Kangasluoma, Juha; Kim, Jaeseok; Krapf, Manuel; Kuerten, Andreas; Laaksonen, Ari; Lehtipalo, Katrianne; Makhmutov, Vladimir; Mathot, Serge; Molteni, Ugo; Onnela, Antti; Peraekylae, Otso; Piel, Felix; Petaejae, Tuukka; Praplan, Arnaud P.; Pringle, Kirsty; Rap, Alexandru; Richards, Nigel A. D.; Riipinen, Ilona; Rissanen, Matti P.; Rondo, Linda; Sarnela, Nina; Schobesberger, Siegfried; Scott, Catherine E.; Seinfeld, John H.; Sipilae, Mikko; Steiner, Gerhard; Stozhkov, Yuri; Stratmann, Frank; Tome, Antonio; Virtanen, Annele; Vogel, Alexander L.; Wagner, Andrea C.; Wagner, Paul E.; Weingartner, Ernest; Wimmer, Daniela; Winkler, Paul M.; Ye, Penglin; Zhang, Xuan; Hansel, Armin; Dommen, Josef; Donahue, Neil M.; Worsnop, Douglas R.; Baltensperger, Urs; Kulmala, Markku; Carslaw, Kenneth S.; Curtius, Joachim",NA,NA,NA,"NATURE","MAY 26 2016","2016","533","7604",NA,NA,NA,"521","+",NA,"10.1038/nature17953",NA,NA,"161","40.25",22,57,61,21
"Restoring cortical control of functional movement in a human with quadriplegia","Bouton, Chad E.; Shaikhouni, Ammar; Annetta, Nicholas V.; Bockbrader, Marcia A.; Friedenberg, David A.; Nielson, Dylan M.; Sharma, Gaurav; Sederberg, Per B.; Glenn, Bradley C.; Mysiw, W. Jerry; Morgan, Austin G.; Deogaonkar, Milind; Rezai, Ali R.",NA,NA,NA,"NATURE","MAY 12 2016","2016","533","7602",NA,NA,NA,"247","+",NA,"10.1038/nature17435",NA,NA,"161","40.25",23,57,60,21
"Chemogenetics revealed: DREADD occupancy and activation via converted clozapine","Gomez, Juan L.; Bonaventura, Jordi; Lesniak, Wojciech; Mathews, William B.; Sysa-Shah, Polina; Rodriguez, Lionel A.; Ellis, Randall J.; Richie, Christopher T.; Harvey, Brandon K.; Dannals, Robert F.; Pomper, Martin G.; Bonci, Antonello; Michaelides, Michael",NA,NA,NA,"SCIENCE","AUG 4 2017","2017","357","6350",NA,NA,NA,"503","+",NA,"10.1126/science.aan2475",NA,NA,"160","53.329999999999998",0,13,102,45
"Neutralizing human antibodies prevent Zika virus replication and fetal disease in mice","Sapparapu, Gopal; Fernandez, Estefania; Kose, Nurgun; Cao, Bin; Fox, Julie M.; Bombardi, Robin G.; Zhao, Haiyan; Nelson, Christopher A.; Bryan, Aubrey L.; Barnes, Trevor; Davidson, Edgar; Mysorekar, Indira U.; Fremont, Daved H.; Doranz, Benjamin J.; Diamond, Michael S.; Crowe, James E., Jr.",NA,NA,NA,"NATURE","DEC 15 2016","2016","540","7633",NA,NA,NA,"443","+",NA,"10.1038/nature20564",NA,NA,"160","40",1,66,70,23
"Human commensals producing a novel antibiotic impair pathogen colonization","Zipperer, Alexander; Konnerth, Martin C.; Laux, Claudia; Berscheid, Anne; Janek, Daniela; Weidenmaier, Christopher; Burian, Marc; Schilling, Nadine A.; Slavetinsky, Christoph; Marschal, Matthias; Willmann, Matthias; Kalbacher, Hubert; Schittek, Birgit; Broetz-Oesterhelt, Heike; Grond, Stephanie; Peschel, Andreas; Krismer, Bernhard",NA,NA,NA,"NATURE","JUL 28 2016","2016","535","7613",NA,NA,NA,"511","516",NA,"10.1038/nature18634",NA,NA,"160","40",8,61,61,30
"Neuronal subtypes and diversity revealed by single-nucleus RNA sequencing of the human brain","Lake, Blue B.; Ai, Rizi; Kaeser, Gwendolyn E.; Salathia, Neeraj S.; Yung, Yun C.; Liu, Rui; Wildberg, Andre; Gao, Derek; Fung, Ho-Lim; Chen, Song; Vijayaraghavan, Raakhee; Wong, Julian; Chen, Allison; Sheng, Xiaoyan; Kaper, Fiona; Shen, Richard; Ronaghi, Mostafa; Fan, Jian-Bing; Wang, Wei; Chun, Jerold; Zhang, Kun",NA,NA,NA,"SCIENCE","JUN 24 2016","2016","352","6293",NA,NA,NA,"1586","1590",NA,"10.1126/science.aaf1204",NA,NA,"160","40",4,47,94,15
"Response and resistance to BET bromodomain inhibitors in triple-negative breast cancer","Shu, Shaokun; Lin, Charles Y.; He, Housheng Hansen; Witwicki, Robert M.; Tabassum, Doris P.; Roberts, Justin M.; Janiszewska, Michalina; Huh, Sung Jin; Liang, Yi; Ryan, Jeremy; Doherty, Ernest; Mohammed, Hisham; Guo, Hao; Stover, Daniel G.; Ekram, Muhammad B.; Peluffo, Guillermo; Brown, Jonathan; D'Santos, Clive; Krop, Ian E.; Dillon, Deborah; McKeown, Michael; Ott, Christopher; Qi, Jun; Ni, Min; Rao, Prakash K.; Duarte, Melissa; Wu, Shwu-Yuan; Chiang, Cheng-Ming; Anders, Lars; Young, Richard A.; Winer, Eric P.; Letai, Antony; Barry, William T.; Carroll, Jason S.; Long, Henry W.; Brown, Myles; Liu, X. Shirley; Meyer, Clifford A.; Bradner, James E.; Polyak, Kornelia",NA,NA,NA,"NATURE","JAN 21 2016","2016","529","7586",NA,NA,NA,"413","+",NA,"10.1038/nature16508",NA,NA,"160","40",20,55,67,18
"Satellite-based entanglement distribution over 1200 kilometers","Yin, Juan; Cao, Yuan; Li, Yu-Huai; Liao, Sheng-Kai; Zhang, Liang; Ren, Ji-Gang; Cai, Wen-Qi; Liu, Wei-Yue; Li, Bo; Dai, Hui; Li, Guang-Bing; Lu, Qi-Ming; Gong, Yun-Hong; Xu, Yu; Li, Shuang-Lin; Li, Feng-Zhi; Yin, Ya-Yun; Jiang, Zi-Qing; Li, Ming; Jia, Jian-Jun; Ren, Ge; He, Dong; Zhou, Yi-Lin; Zhang, Xiao-Xiang; Wang, Na; Chang, Xiang; Zhu, Zhen-Cai; Liu, Nai-Le; Chen, Yu-Ao; Lu, Chao-Yang; Shu, Rong; Peng, Cheng-Zhi; Wang, Jian-Yu; Pan, Jian-Wei",NA,NA,NA,"SCIENCE","JUN 16 2017","2017","356","6343",NA,NA,NA,"1180","1184",NA,"10.1126/science.aan3211",NA,NA,"159","53",0,29,100,30
"Whole-genome landscapes of major melanoma subtypes","Hayward, Nicholas K.; Wilmott, James S.; Waddell, Nicola; Johansson, Peter A.; Field, Matthew A.; Nones, Katia; Patch, Ann-Marie; Kakavand, Hojabr; Alexandrov, Ludmil B.; Burke, Hazel; Jakrot, Valerie; Kazakoff, Stephen; Holmes, Oliver; Leonard, Conrad; Sabarinathan, Radhakrishnan; Mularoni, Loris; Wood, Scott; Xu, Qinying; Waddell, Nick; Tembe, Varsha; Pupo, Gulietta M.; De Paoli-Iseppi, Ricardo; Vilain, Ricardo E.; Shang, Ping; Lau, Loretta M. S.; Dagg, Rebecca A.; Schramm, Sarah-Jane; Pritchard, Antonia; Dutton-Regester, Ken; Newell, Felicity; Fitzgerald, Anna; Shang, Catherine A.; Grimmond, Sean M.; Pickett, Hilda A.; Yang, Jean Y.; Stretch, Jonathan R.; Behren, Andreas; Kefford, Richard F.; Hersey, Peter; Long, Georgina V.; Cebon, Jonathan; Shackleton, Mark; Spillane, Andrew J.; Saw, Robyn P. M.; Lopez-Bigas, Nuria; Pearson, John V.; Thompson, John F.; Scolyer, Richard A.; Mann, Graham J.",NA,NA,NA,"NATURE","MAY 11 2017","2017","545","7653",NA,NA,NA,"175","180",NA,"10.1038/nature22071",NA,NA,"159","53",0,13,88,58
"Gut bacteria that prevent growth impairments transmitted by microbiota from malnourished children","Blanton, Laura V.; Charbonneau, Mark R.; Salih, Tarek; Barratt, Michael J.; Venkatesh, Siddarth; Ilkaveya, Olga; Subramanian, Sathish; Manary, Mark J.; Trehan, Indi; Jorgensen, Josh M.; Fan, Yue-mei; Henrissat, Bernard; Leyn, Semen A.; Rodionov, Dmitry A.; Osterman, Andrei L.; Maleta, KennethM.; Newgard, Christopher B.; Ashorn, Per; Dewey, Kathryn G.; Gordon, Jeffrey I.",NA,NA,NA,"SCIENCE","FEB 19 2016","2016","351","6275",NA,NA,NA,NA,NA,"aad3311","10.1126/science.aad3311",NA,NA,"159","39.75",27,60,53,19
"The X-ray counterpart to the gravitational-wave event GW170817","Troja, E.; Piro, L.; van Eerten, H.; Wollaeger, R. T.; Im, M.; Fox, O. D.; Butler, N. R.; Cenko, S. B.; Sakamoto, T.; Fryer, C. L.; Ricci, R.; Lien, A.; Ryan, R. E., Jr.; Korobkin, O.; Lee, S. -K.; Burgess, J. M.; Lee, W. H.; Watson, A. M.; Choi, C.; Covino, S.; D'Avanzo, P.; Fontes, C. J.; Becerra Gonzalez, J.; Khandrika, H. G.; Kim, J.; Kim, S. -L.; Lee, C. -U.; Lee, H. M.; Kutyrev, A.; Lim, G.; Sanchez-Ramirez, R.; Veilleux, S.; Wieringa, M. H.; Yoon, Y.",NA,NA,NA,"NATURE","NOV 2 2017","2017","551","7678",NA,NA,NA,"71","+",NA,"10.1038/nature24290",NA,NA,"158","52.670000000000002",0,17,107,34
"Liquid droplet formation by HP1 alpha suggests a role for phase separation in heterochromatin","Larson, Adam G.; Elnatan, Daniel; Keenen, Madeline M.; Trnka, Michael J.; Ohnston, Jonathan B. J.; Burlingame, Alma L.; Agard, David A.; Redding, Sy; Narlikar, Geeta J.",NA,NA,NA,"NATURE","JUL 13 2017","2017","547","7662",NA,NA,NA,"236","+",NA,"10.1038/nature22822",NA,NA,"158","52.670000000000002",0,14,100,44
"Self-assembly of noble metal monolayers on transition metal carbide nanoparticle catalysts","Hunt, Sean T.; Milina, Maria; Alba-Rubio, Ana C.; Hendon, Christopher H.; Dumesic, James A.; Roman-Leshkov, Yuriy",NA,NA,NA,"SCIENCE","MAY 20 2016","2016","352","6288",NA,NA,"SI","974","978",NA,"10.1126/science.aad8471",NA,NA,"158","39.5",11,56,66,25
"A single-atom heat engine","Ronagel, Johannes; Dawkins, Samuel T.; Tolazzi, Karl N.; Abah, Obinna; Lutz, Eric; Schmidt-Kaler, Ferdinand; Singer, Kilian",NA,NA,NA,"SCIENCE","APR 15 2016","2016","352","6283",NA,NA,NA,"325","329",NA,"10.1126/science.aad6320",NA,NA,"158","39.5",23,59,54,22
